Date,Open,High,Low,Close,Adj Close,Volume
2022-05-31,35615.300781,35881.949219,35288.949219,35487.398438,35486.984375,149300
2022-06-01,35358.949219,35768.699219,35285.449219,35620.800781,35620.386719,100800
2022-06-02,35470.949219,35676.199219,35385.000000,35613.648438,35613.234375,140700
2022-06-03,35929.550781,35958.449219,35175.101563,35275.050781,35274.640625,104800
2022-06-06,35159.148438,35424.500000,35072.300781,35310.199219,35309.789063,100800
2022-06-07,35080.800781,35154.300781,34834.398438,34996.000000,34995.593750,91600
2022-06-08,35165.648438,35449.898438,34831.750000,34946.148438,34945.742188,124600
2022-06-09,34802.250000,35149.101563,34659.101563,35085.449219,35085.042969,100900
2022-06-10,34686.949219,34752.449219,34346.648438,34483.800781,34483.398438,90000
2022-06-13,33728.648438,33774.050781,33210.351563,33405.851563,33405.464844,131900
2022-06-14,33180.601563,33618.148438,33123.898438,33311.351563,33310.964844,113200
2022-06-15,33317.800781,33554.550781,33249.550781,33339.000000,33338.613281,90800
2022-06-16,33648.800781,33756.500000,32537.949219,32617.099609,32616.720703,129500
2022-06-17,32393.449219,32889.800781,32290.550781,32743.050781,32742.669922,139800
2022-06-20,32873.398438,32926.101563,32426.400391,32684.800781,32684.419922,144400
2022-06-21,32978.050781,33593.800781,32797.550781,33191.750000,33191.363281,258100
2022-06-22,33051.648438,33106.949219,32758.150391,32845.300781,32844.917969,135000
2022-06-23,32927.398438,33431.750000,32652.150391,33135.000000,33134.613281,193100
2022-06-24,33434.800781,33721.898438,33390.851563,33627.449219,33627.058594,149800
2022-06-27,34126.199219,34147.500000,33735.500000,33811.250000,33810.855469,111400
2022-06-28,33578.199219,33745.300781,33503.300781,33642.449219,33642.058594,125000
2022-06-29,33273.550781,33422.800781,33185.250000,33269.898438,33269.511719,140800
2022-06-30,33180.699219,33659.300781,33179.601563,33425.101563,33424.714844,149500
2022-07-01,33264.750000,33666.500000,33080.449219,33539.449219,33539.058594,149900
2022-07-04,33558.851563,33978.500000,33515.601563,33940.898438,33940.503906,152600
2022-07-05,34084.699219,34361.050781,33757.000000,33815.898438,33815.503906,115000
2022-07-06,33929.398438,34388.500000,33876.148438,34324.250000,34323.851563,122700
2022-07-07,34627.398438,34965.750000,34553.101563,34920.300781,34919.894531,184000
2022-07-08,35258.898438,35262.101563,34977.750000,35124.050781,35123.640625,109000
2022-07-11,35017.601563,35543.101563,35006.550781,35469.648438,35469.234375,130600
2022-07-12,35298.699219,35419.648438,35047.500000,35132.250000,35131.839844,113400
2022-07-13,35259.800781,35308.148438,34757.601563,34827.800781,34827.394531,103400
2022-07-14,34817.949219,35027.601563,34558.449219,34651.199219,34650.796875,121300
2022-07-15,34734.449219,34899.949219,34463.898438,34682.648438,34682.246094,99100
2022-07-18,34841.851563,35382.500000,34804.398438,35358.699219,35358.289063,146600
2022-07-19,35113.250000,35761.648438,35110.500000,35720.351563,35719.937500,183400
2022-07-20,36061.300781,36182.699219,35876.550781,35972.101563,35971.683594,173400
2022-07-21,36026.550781,36331.699219,35887.351563,36201.000000,36200.578125,153800
2022-07-22,36322.898438,36823.449219,36286.351563,36738.949219,36738.523438,143600
2022-07-25,36766.699219,37011.199219,36464.648438,36726.398438,36725.972656,139700
2022-07-26,36688.550781,36695.750000,36334.101563,36408.500000,36408.078125,114000
2022-07-27,36370.550781,36808.300781,36248.601563,36783.750000,36783.324219,113100
2022-07-28,37102.449219,37414.398438,37028.500000,37378.148438,37377.714844,172500
2022-07-29,37717.300781,37754.648438,37221.148438,37491.398438,37490.960938,166900
2022-08-01,37594.148438,37939.601563,37407.199219,37903.199219,37902.757813,346400
2022-08-02,37767.699219,38179.851563,37632.300781,38024.000000,38023.558594,317300
2022-08-03,37954.550781,38068.601563,37692.949219,37989.250000,37988.808594,200300
2022-08-04,38111.050781,38231.851563,37249.500000,37755.550781,37755.113281,186300
2022-08-05,37868.250000,38150.449219,37779.898438,37920.601563,37920.160156,175900
2022-08-08,37847.351563,38302.351563,37681.449219,38237.398438,38236.953125,174100
2022-08-10,38298.851563,38402.949219,38155.300781,38287.851563,38287.406250,163900
2022-08-11,38712.949219,38932.101563,38648.898438,38879.851563,38879.398438,200900
2022-08-12,38942.449219,39088.898438,38739.949219,39042.300781,39041.847656,125300
2022-08-16,39284.101563,39444.601563,39119.898438,39239.648438,39239.191406,0
2022-08-17,39351.300781,39504.500000,39202.800781,39461.699219,39461.242188,169800
2022-08-18,39324.398438,39703.699219,39291.148438,39656.148438,39655.687500,137200
2022-08-19,39732.648438,39759.148438,38848.398438,38985.949219,38985.496094,148100
2022-08-22,38693.648438,38732.851563,38247.250000,38297.750000,38297.304688,124300
2022-08-23,37955.449219,38869.898438,37950.851563,38697.648438,38697.199219,176400
2022-08-24,38552.699219,39120.800781,38552.199219,39038.500000,39038.046875,214900
2022-08-25,39190.050781,39471.750000,38803.699219,38950.750000,38950.296875,333400
2022-08-26,39129.648438,39337.101563,38846.800781,38987.148438,38986.695313,196300
